"""Nexus Sprint 23""",,,,,
4 Tasks,,,,,
,,,,,
Task,Message,Time (HR),Task Points (TP),HR / TP,Resolution
FA-7673,"As a Leumi trader, I would like 5 new currency pairs calibrated, I have provided this data on Reuters RICs, so that I can use the calibrated data to price",8,2,4,Unresolved
FA-7634,"As a dev, I want to be able to publish to Contex",32,3,10.67,Unresolved
FA-7633,"As a dev, I want to set up the Jenkin server and research how to convert Bamboo agents to Jenkin agents",44,5,8.8,Unresolved
FA-7625,"As a user of the SP vs Time reporter tool, I want to add additional enhancements",27,3,9,Resolved
,,,,,
TOTAL,,111,13,,
AVERAGE,,27.75,3.25,8.54,
MEDIAN,,32,3,9,
MIN,,8,2,4,
MAX,,44,5,10.67,
RANGE,,36,3,6.67,
0% QUARTILE,,8,2,4,
25% QUARTILE,,22.25,2.75,7.600000000000001,
50% QUARTILE,,29.5,3,8.9,
75% QUARTILE,,35,3.5,9.4175,
100% QUARTILE,,44,5,10.67,
,,,,,
HOURS \ TASK,2SP (1),3SP (2),5SP (1),,
AVERAGE,8,29.5,44,,
MEDIAN,8,32,44,,
MIN,8,27,44,,
MAX,8,32,44,,
RANGE,0,5,0,,
0% QUARTILE,8,27,44,,
25% QUARTILE,8,28.25,44,,
50% QUARTILE,8,29.5,44,,
75% QUARTILE,8,30.75,44,,
100% QUARTILE,8,32,44,,
,,,,,
RATE \ TASK,2SP (1),3SP (2),5SP (1),,
AVERAGE,4,9.83,8.8,,
MEDIAN,4,10.67,8.8,,
MIN,4,9,8.8,,
MAX,4,10.67,8.8,,
RANGE,0,1.67,0,,
0% QUARTILE,4,9,8.8,,
25% QUARTILE,4,9.42,8.8,,
50% QUARTILE,4,9.83,8.8,,
75% QUARTILE,4,10.25,8.8,,
100% QUARTILE,4,10.67,8.8,,
